Label,Field Type,Options/Other Details,Sub Category,Category,Unique ID,Description,Is Required,Is Hidden
Preferences Updated,Checkbox,Yes/No,Communication Overload,Sales & Marketing,SM-OVER-008,Were communication settings changed,Yes,No
Platform,Dropdown,Instagram | Facebook | Twitter/X | LinkedIn | YouTube | Other,Social Media,Sales & Marketing,SM-SOC-001,Which social platform,Yes,No
Issue Type,Dropdown,Inaccurate Information | Unresponsive to DMs | Poor Engagement | Outdated Information | Misleading Posts | Other,Social Media,Sales & Marketing,SM-SOC-002,Social media issue type,Yes,No
Specific Post/Content,Text,Post URL or description,Social Media,Sales & Marketing,SM-SOC-003,Link or details of content,No,No
Inaccuracy Details,Long Text,Free text,Social Media,Sales & Marketing,SM-SOC-004,What information was wrong,No,No
Client Contacted Via DM,Checkbox,Yes/No,Social Media,Sales & Marketing,SM-SOC-005,Did they send direct message,No,No
DM Response Time,Dropdown,Under 1 Hour | 1-24 Hours | 24-48 Hours | No Response,Social Media,Sales & Marketing,SM-SOC-006,How long until reply,No,No
Issue Resolved Via Social,Checkbox,Yes/No,Social Media,Sales & Marketing,SM-SOC-007,Was it handled on social media,No,No
Directed to Other Channel,Checkbox,Yes/No,Social Media,Sales & Marketing,SM-SOC-008,Were they asked to call/email,No,No
Issue Type,Dropdown,Guest Pass Not Working | Referral Benefit Not Credited | Restrictions Not Mentioned | Pass Expired Early | Other,Guest Passes/Referrals,Sales & Marketing,SM-GUEST-001,Guest pass/referral issue,Yes,No
Referral Type,Dropdown,Guest Pass | Friend Referral | Corporate Partnership | Influencer/Ambassador | Other,Guest Passes/Referrals,Sales & Marketing,SM-GUEST-002,Type of referral program,Yes,No
Pass/Code Provided,Text,Free text,Guest Passes/Referrals,Sales & Marketing,SM-GUEST-003,Code or pass number,No,No
Referred Client Name,Text,Free text,Guest Passes/Referrals,Sales & Marketing,SM-GUEST-004,Who was referred (if applicable),No,No
Referring Client,Text,Free text,Guest Passes/Referrals,Sales & Marketing,SM-GUEST-005,Who gave the referral,No,No
Benefit Expected,Text,Free text,Guest Passes/Referrals,Sales & Marketing,SM-GUEST-006,What benefit was promised,No,No
Benefit Received,Dropdown,Yes | No | Partial,Guest Passes/Referrals,Sales & Marketing,SM-GUEST-007,Was benefit given,Yes,No
Terms Clearly Communicated,Dropdown,Yes | No | Unclear,Guest Passes/Referrals,Sales & Marketing,SM-GUEST-008,Were restrictions explained,No,No
Resolution,Long Text,Free text,Guest Passes/Referrals,Sales & Marketing,SM-GUEST-009,How was it resolved,No,No
Event Name,Text,Free text,Events & Workshops,Sales & Marketing,SM-EVENT-001,Name of event/workshop,Yes,No
Event Date,Date,Date picker,Events & Workshops,Sales & Marketing,SM-EVENT-002,Scheduled date,Yes,No
Event Location,Dropdown,Locations list,Events & Workshops,Sales & Marketing,SM-EVENT-003,Where it was held,Yes,No
Issue Type,Dropdown,Poor Organization | Event Cancelled | Misleading Details | Registration Issues | Overcrowded | Other,Events & Workshops,Sales & Marketing,SM-EVENT-004,Event issue type,Yes,No
Client Registered,Checkbox,Yes/No,Events & Workshops,Sales & Marketing,SM-EVENT-005,Did they sign up,Yes,No
Registration Fee Paid,Number,Amount in INR,Events & Workshops,Sales & Marketing,SM-EVENT-006,"If paid, how much",No,No
Notice Period for Cancellation,Text,Hours/days,Events & Workshops,Sales & Marketing,SM-EVENT-007,How much notice for cancellation,No,No
Refund Offered,Checkbox,Yes/No,Events & Workshops,Sales & Marketing,SM-EVENT-008,Was refund provided,No,No
Alternative Offered,Long Text,Free text,Events & Workshops,Sales & Marketing,SM-EVENT-009,What alternative was given,No,No
Event Details Mismatch,Long Text,Free text,Events & Workshops,Sales & Marketing,SM-EVENT-010,What was different from advertised,No,No
Issue Type,Dropdown,Inconsistent Messaging | Tone Mismatch | Cultural Insensitivity | Inappropriate Content | Confusing Branding | Other,Brand Communication,Sales & Marketing,SM-BRAND-001,Brand communication issue,Yes,No
Communication Channel,Dropdown,Social Media | Email | Website | In-Studio Signage | Print Material | Other,Brand Communication,Sales & Marketing,SM-BRAND-002,Where issue was seen,Yes,No
Specific Content,Text,Description or link,Brand Communication,Sales & Marketing,SM-BRAND-003,What content was problematic,No,No
Issue Details,Long Text,Free text area,Brand Communication,Sales & Marketing,SM-BRAND-004,Explain the issue,Yes,No
Cultural/Sensitivity Concern,Checkbox,Yes/No,Brand Communication,Sales & Marketing,SM-BRAND-005,Is this a sensitivity issue,No,No
Client Reaction,Dropdown,Offended | Confused | Disappointed | Concerned | Other,Brand Communication,Sales & Marketing,SM-BRAND-006,How client felt,No,No
Flagged to Marketing Team,Checkbox,Yes/No,Brand Communication,Sales & Marketing,SM-BRAND-007,Was marketing team notified,Yes,No
Issue Type,Dropdown,Inadequate Sanitization | No Mask Enforcement | Poor Surface Cleaning | Unclean Equipment | Other,Hygiene Protocols,Health & Safety,HS-HYG-001,Hygiene issue type,Yes,No
Area Affected,Multi-select,Studio Floor | Equipment | Changing Room | Washroom | Reception | Common Areas | Other,Hygiene Protocols,Health & Safety,HS-HYG-002,Where was hygiene issue,Yes,No
Specific Equipment,Text,Free text,Hygiene Protocols,Health & Safety,HS-HYG-003,Which equipment if applicable,No,No
Class Time,DateTime,Date/time picker,Hygiene Protocols,Health & Safety,HS-HYG-004,When was this observed,Yes,No
Observed By,Dropdown,Client | Staff | Instructor,Hygiene Protocols,Health & Safety,HS-HYG-005,Who noticed the issue,Yes,No
Sanitization Frequency,Dropdown,Not Done | Insufficient | Not After Each Class | Other,Hygiene Protocols,Health & Safety,HS-HYG-006,Issue with cleaning schedule,No,No
Immediate Action Taken,Long Text,Free text,Hygiene Protocols,Health & Safety,HS-HYG-007,What was done immediately,Yes,No
Staff Notified,Checkbox,Yes/No,Hygiene Protocols,Health & Safety,HS-HYG-008,Was cleaning staff informed,Yes,No
Photo Evidence,Checkbox,Yes/No,Hygiene Protocols,Health & Safety,HS-HYG-009,Was photo taken,No,No
Injured Person,Text,Client name,Injury During Class,Health & Safety,HS-INJ-001,Who was injured,Yes,No
Injured Person Contact,Phone,Phone number,Injury During Class,Health & Safety,HS-INJ-002,Contact number,Yes,No
Class,Dropdown,Classes list,Injury During Class,Health & Safety,HS-INJ-003,Which class,Yes,No
Instructor,Dropdown,Trainers list,Injury During Class,Health & Safety,HS-INJ-004,Instructor teaching,Yes,No
Class Date & Time,DateTime,Date/time picker,Injury During Class,Health & Safety,HS-INJ-005,When injury occurred,Yes,No
Injury Type,Dropdown,Muscle Strain | Sprain | Fall | Equipment-Related | Collision with Another Client | Overexertion | Other,Injury During Class,Health & Safety,HS-INJ-006,Type of injury,Yes,No
Body Part Affected,Dropdown,Head | Neck | Shoulder | Arm | Hand | Back | Hip | Leg | Knee | Ankle | Foot | Other,Injury During Class,Health & Safety,HS-INJ-007,Where on body,Yes,No
Injury Severity,Dropdown,Minor (continued class) | Moderate (stopped class) | Serious (medical attention needed) | Critical (emergency services),Injury During Class,Health & Safety,HS-INJ-008,How severe,Yes,No
Cause of Injury,Long Text,Free text area,Injury During Class,Health & Safety,HS-INJ-009,What caused the injury,Yes,No
Pre-existing Condition,Checkbox,Yes/No,Injury During Class,Health & Safety,HS-INJ-010,Did client have prior injury,No,No
Pre-existing Condition Details,Text,Free text,Injury During Class,Health & Safety,HS-INJ-011,Details of prior condition,No,No
First Aid Administered,Checkbox,Yes/No,Injury During Class,Health & Safety,HS-INJ-012,Was first aid given,Yes,No
First Aid Details,Long Text,Free text,Injury During Class,Health & Safety,HS-INJ-013,What first aid was provided,No,No
Medical Professional Called,Checkbox,Yes/No,Injury During Class,Health & Safety,HS-INJ-014,Was doctor/ambulance called,Yes,No
Incident Report Filed,Checkbox,Yes/No,Injury During Class,Health & Safety,HS-INJ-015,Was formal report created,Yes,No
Witness Present,Multi-select,Instructor | Other Clients | Staff | None,Injury During Class,Health & Safety,HS-INJ-016,Who witnessed,No,No
Witness Details,Text,Names if available,Injury During Class,Health & Safety,HS-INJ-017,Witness information,No,No
Client Continued Class,Checkbox,Yes/No,Injury During Class,Health & Safety,HS-INJ-018,Did they finish class,No,No
Follow-up Required,Checkbox,Yes/No,Injury During Class,Health & Safety,HS-INJ-019,Does client need follow-up,Yes,No
Management Notified,Checkbox,Yes/No,Injury During Class,Health & Safety,HS-INJ-020,Was management informed,Yes,No
Issue Type,Dropdown,No Fire Exit Signs | Missing First Aid Kit | No Emergency Protocol | Blocked Emergency Exit | No Fire Extinguisher | Other,Emergency Preparedness,Health & Safety,HS-EMER-001,Emergency prep issue,Yes,No
Specific Location,Text,Free text,Emergency Preparedness,Health & Safety,HS-EMER-002,Where in the studio,Yes,No
Safety Equipment Missing,Multi-select,First Aid Kit | Fire Extinguisher | Emergency Exit Signs | AED | Emergency Contact List | Other,Emergency Preparedness,Health & Safety,HS-EMER-003,What is missing,No,No
Observed By,Dropdown,Client | Staff | Instructor | Inspector,Emergency Preparedness,Health & Safety,HS-EMER-004,Who noticed this,Yes,No
Safety Risk Level,Dropdown,Low | Medium | High | Critical,Emergency Preparedness,Health & Safety,HS-EMER-005,How serious is the risk,Yes,No
Immediate Correction Possible,Checkbox,Yes/No,Emergency Preparedness,Health & Safety,HS-EMER-006,Can this be fixed immediately,No,No
Action Taken,Long Text,Free text,Emergency Preparedness,Health & Safety,HS-EMER-007,What was done,Yes,No
Facilities Team Notified,Checkbox,Yes/No,Emergency Preparedness,Health & Safety,HS-EMER-008,Was facilities team informed,Yes,No
Compliance Issue,Checkbox,Yes/No,Emergency Preparedness,Health & Safety,HS-EMER-009,Is this a legal/code violation,No,No
Issue Type,Dropdown,Not Following Guidelines | No Temperature Checks | Overcrowding Beyond Capacity | No Social Distancing | Other,COVID/Health Protocols,Health & Safety,HS-COVID-001,Health protocol issue,Yes,No
Current Protocol in Place,Dropdown,Temperature Checks | Capacity Limits | Mask Requirements | Social Distancing | Enhanced Cleaning | Other,COVID/Health Protocols,Health & Safety,HS-COVID-002,What protocols should be followed,Yes,No
Protocol Not Followed,Multi-select,Same as above options,COVID/Health Protocols,Health & Safety,HS-COVID-003,Which protocols were violated,Yes,No
Class,Dropdown,Classes list,COVID/Health Protocols,Health & Safety,HS-COVID-004,Which class if applicable,No,No
Class Date & Time,DateTime,Date/time picker,COVID/Health Protocols,Health & Safety,HS-COVID-005,When observed,Yes,No
Number of People Present,Number,Numeric,COVID/Health Protocols,Health & Safety,HS-COVID-006,How many in studio,No,No
Maximum Capacity,Number,Numeric,COVID/Health Protocols,Health & Safety,HS-COVID-007,What's the limit,No,No
Staff Responsible,Dropdown,Associates list,COVID/Health Protocols,Health & Safety,HS-COVID-008,Who should have enforced,No,No
Client Concern Level,Dropdown,Low | Medium | High | Refused to Attend,COVID/Health Protocols,Health & Safety,HS-COVID-009,How concerned was client,No,No
Corrective Action,Long Text,Free text,COVID/Health Protocols,Health & Safety,HS-COVID-010,What was done,Yes,No
Issue Type,Dropdown,Medical Form Not Collected | Disclosed Condition Ignored | No Medical Waiver | Staff Unaware of Condition | Other,Medical Disclosure,Health & Safety,HS-MED-001,Medical disclosure issue,Yes,No
Client Name,Text,Free text,Medical Disclosure,Health & Safety,HS-MED-002,Which client,Yes,No
Medical Condition,Text,General description only,Medical Disclosure,Health & Safety,HS-MED-003,What condition (general terms),No,No
Condition Disclosed,Dropdown,Yes - In Writing | Yes - Verbally | No,Medical Disclosure,Health & Safety,HS-MED-004,Was condition disclosed,Yes,No
Date Disclosed,Date,Date picker,Medical Disclosure,Health & Safety,HS-MED-005,When was it disclosed,No,No
Disclosed To,Dropdown,Associates + Trainers list,Medical Disclosure,Health & Safety,HS-MED-006,Who was told,No,No
Information in System,Checkbox,Yes/No,Medical Disclosure,Health & Safety,HS-MED-007,Is it in client profile,Yes,No
Instructor Informed,Checkbox,Yes/No,Medical Disclosure,Health & Safety,HS-MED-008,Does instructor know,No,No
Modifications Offered,Checkbox,Yes/No,Medical Disclosure,Health & Safety,HS-MED-009,Were alternatives provided,No,No
Incident Occurred,Checkbox,Yes/No,Medical Disclosure,Health & Safety,HS-MED-010,Did this lead to an incident,Yes,No
Action Required,Long Text,Free text,Medical Disclosure,Health & Safety,HS-MED-011,What needs to happen,Yes,No
Equipment Type,Dropdown,Weights | Resistance Bands | Mat | Barre | Ball | Reformer | Other,Equipment Safety,Health & Safety,HS-EQUIP-001,What equipment,Yes,No
Issue Type,Dropdown,Unsafe/Damaged | No Safety Check | Sharp Edges | Unstable | Broken | Worn Out | Other,Equipment Safety,Health & Safety,HS-EQUIP-002,Safety issue type,Yes,No
Equipment ID/Description,Text,Free text,Equipment Safety,Health & Safety,HS-EQUIP-003,Specific equipment identifier,No,No
Observed During,Dropdown,Before Class | During Class |,,,,,,
Issue Type,Dropdown,Poor Ventilation | Strong Odors | Chemical Smell | Stuffy Environment | Dust | Other,Air Quality,Health & Safety,HS-AIR-001,Air quality issue type,Yes,No
Area Affected,Multi-select,Studio Floor | Changing Room | Washroom | Reception | Entire Facility,Air Quality,Health & Safety,HS-AIR-002,Where is the issue,Yes,No
Odor Source,Dropdown,Cleaning Products | Mold/Mildew | Sewage | Sweat/Body Odor | Unknown | Other,Air Quality,Health & Safety,HS-AIR-003,What's causing the smell,No,No
Observed During,Dropdown,Morning Classes | Afternoon Classes | Evening Classes | All Day,Air Quality,Health & Safety,HS-AIR-004,When is it noticeable,Yes,No
Class,Dropdown,Classes list,Air Quality,Health & Safety,HS-AIR-005,Specific class if applicable,No,No
Class Date & Time,DateTime,Date/time picker,Air Quality,Health & Safety,HS-AIR-006,When observed,Yes,No
Temperature,Dropdown,Too Hot | Too Cold | Normal,Air Quality,Health & Safety,HS-AIR-007,Temperature at the time,No,No
AC/Ventilation On,Checkbox,Yes/No,Air Quality,Health & Safety,HS-AIR-008,Was system running,No,No
Client Health Impact,Dropdown,None | Mild Discomfort | Breathing Difficulty | Headache | Nausea | Had to Leave,Air Quality,Health & Safety,HS-AIR-009,How it affected client,No,No
Multiple Clients Affected,Checkbox,Yes/No,Air Quality,Health & Safety,HS-AIR-010,Did others complain too,No,No
Immediate Action Taken,Long Text,Free text,Air Quality,Health & Safety,HS-AIR-011,What was done,Yes,No
Facilities Team Notified,Checkbox,Yes/No,Air Quality,Health & Safety,HS-AIR-012,Was maintenance informed,Yes,No
Ticket ID,Auto-generated,System generated unique identifier,N/A,Global,GLB-001,Unique ticket reference number,Yes,No
Date & Time of Incident,DateTime,Date and time picker,N/A,Global,GLB-002,When the issue occurred,Yes,No
Date & Time of Report,DateTime,Auto-populated timestamp,N/A,Global,GLB-003,When ticket was created,Yes,Yes
Reported By,Text,Staff member name (auto-filled),N/A,Global,GLB-004,Name of team member creating ticket,Yes,No
Associate Handling,Dropdown,Akshay Rane | Vahishta Fitter | Zaheer Agarbattiwala | Zahur Shaikh | Nadiya Shaikh | Admin Admin | Shipra Bhika | Imran Shaikh | Tahira Sayyed | Manisha Rathod | Sheetal Kataria | Priyanka Abnave | Api Serou | Prathap Kp | Pavanthika | Santhosh Kumar,N/A,Global,GLB-005,Associate who initially handled the issue,Yes,No
Client Name,Text,Free text field,N/A,Global,GLB-006,Full name of the client,Yes,No
Client Phone,Text,10-digit mobile number,N/A,Global,GLB-007,Client contact number,Yes,No
Client Email,Email,Valid email format,N/A,Global,GLB-008,Client email address,Yes,No
Client Status,Dropdown,Existing Active | Existing Inactive | New Prospect | Trial Client | Guest (Hosted Class),N/A,Global,GLB-009,Current status of the client,Yes,No
Location,Dropdown,Kwality House Kemps Corner | Kenkre House | South United Football Club | Supreme HQ Bandra | WeWork Prestige Central | WeWork Galaxy | The Studio by Copper + Cloves | Pop-up,N/A,Global,GLB-010,Studio location where issue occurred,Yes,No
Priority Level,Dropdown,Low (log only) | Medium (48hrs) | High (24hrs) | Critical (immediate),N/A,Global,GLB-011,Urgency of issue resolution,Yes,No
Department Routing,Dropdown,Operations | Facilities | Training | Sales | Client Success | Marketing | Finance | Management,N/A,Global,GLB-012,Department responsible for resolution,Yes,No
Issue Status,Dropdown,Open | In Progress | Pending Client | Resolved | Closed,N/A,Global,GLB-013,Current status of the ticket,Yes,No
Client Sentiment,Dropdown,Very Upset | Frustrated | Neutral | Satisfied | Delighted,N/A,Global,GLB-014,Client's emotional state during interaction,Yes,No
Follow-up Required,Radio,Yes | No,N/A,Global,GLB-015,Does this issue need follow-up contact?,Yes,No
Follow-up Date,Date,Date picker (conditional on above),N/A,Global,GLB-016,When to follow up with client,No,No
Resolution Notes,Long Text,Free text area,N/A,Global,GLB-017,Actions taken and resolution provided,No,No
Attachments,File Upload,"Images, screenshots, documents",N/A,Global,GLB-018,Supporting evidence or documentation,No,No
Issue Type,Dropdown,App Crash | Slow Loading | Login Failed | Feature Not Working | UI Display Error | Session Timeout | Other,App/Website Issues,Booking & Technology,BT-001,Specific technical problem encountered,Yes,No
Platform,Dropdown,iOS App | Android App | Website (Desktop) | Website (Mobile),App/Website Issues,Booking & Technology,BT-002,Where the issue occurred,Yes,No
Device/Browser,Text,"e.g., iPhone 12, Chrome, Safari",App/Website Issues,Booking & Technology,BT-003,Device or browser being used,No,No
App Version,Text,Version number if applicable,App/Website Issues,Booking & Technology,BT-004,Current app version,No,No
Error Message,Text,Exact error message displayed,App/Website Issues,Booking & Technology,BT-005,Any error text shown to user,No,No
Steps to Reproduce,Long Text,Detailed sequence of actions,App/Website Issues,Booking & Technology,BT-006,How to recreate the issue,Yes,No
Workaround Provided,Text,Temporary solution offered to client,App/Website Issues,Booking & Technology,BT-007,How issue was temporarily resolved,No,No
Client Able to Complete Action,Radio,Yes | No,App/Website Issues,Booking & Technology,BT-008,Whether client completed intended task,Yes,No
Booking Failure Type,Dropdown,Cannot Select Class | Booking Not Confirmed | Double Booking Occurred | Booking Disappeared | Wrong Class Booked | Other,Booking Failures,Booking & Technology,BT-009,Type of booking failure,Yes,No
Class Attempted,Dropdown,Studio Barre 57 | Studio Foundations | Studio Barre 57 Express | Studio Cardio Barre | Studio FIT | Studio Mat 57 | Studio SWEAT In 30 | Studio Amped Up! | Studio Back Body Blaze | Studio Cardio Barre Plus | Studio Cardio Barre Express | Studio HIIT | Studio Back Body Blaze Express | Studio Recovery | Studio Hosted Class | Studio Trainer's Choice | Studio Pre/Post Natal | Studio Mat 57 Express | Studio PowerCycle Express | Studio PowerCycle | Studio Strength Lab (Pull) | Studio Strength Lab (Full Body) | Studio Strength Lab (Push) | Studio Strength Lab,Booking Failures,Booking & Technology,BT-010,Which class client tried to book,Yes,No
Class Date & Time,DateTime,Date and time of class,Booking Failures,Booking & Technology,BT-011,Scheduled class date/time,Yes,No
Trainer,Dropdown,Anisha Shah | Atulan Purohit | Karanvir Bhatia | Mrigakshi Jaiswal | Reshma Sharma | Karan Bhatia | Pushyank Nahar | Shruti Kulkarni | Janhavi Jain | Rohan Dahima | Kajol Kanchan | Vivaran Dhasmana | Upasna Paranjpe | Richard D'Costa | Pranjali Jain | Saniya Jaiswal | Shruti Suresh | Cauveri Vikrant | Poojitha Bhaskar | Nishanth Raj | Siddhartha Kusuma | Simonelle De Vitre | Kabir Varma | Simran Dutt | Veena Narasimhan | Anmol Sharma | Bret Saldanha | Raunak Khemuka | Chaitanya Nahar | Sovena Shetty,Booking Failures,Booking & Technology,BT-012,Instructor for the class,Yes,No
Client Package Type,Dropdown,Barre 1 month Unlimited | Studio 2 Week Unlimited | Studio Single Class | Session | Private Class | Studio 8 Class Package | Studio 10 Class Package | Money Credits | Studio Private Class | Retail | Studio 4 Class Package | Studio 1 Month Unlimited | Studio 3 Month Unlimited | Studio Annual Unlimited | Studio Newcomers 2 For 1 | Studio 12 Class Package | Studio 10 Single Class Package | Studio 30 Single Class Package | Studio 20 Single Class Package | Barre 6 month Unlimited | Studio 6 Month Unlimited | Barre 2 week Unlimited | Studio 3 Month Unlimited - Monthly | Gift Card | Newcomer 8 Class Package | Studio 6 Week Unlimited,Booking Failures,Booking & Technology,BT-013,Client's current membership/package,Yes,No
Classes Remaining,Number,Number of classes left in package,Booking Failures,Booking & Technology,BT-014,Available class credits,Yes,No
Booking Manually Completed,Radio,Yes | No,Booking Failures,Booking & Technology,BT-015,Whether staff manually booked client,Yes,No
System Error Code,Text,Any system error code displayed,Booking Failures,Booking & Technology,BT-016,Technical error reference,No,No
Waitlist Issue Type,Dropdown,Not Moving Up | Didn't Get Notified of Opening | Waitlist Not Available | Spot Given to Someone Else | Waitlist Position Incorrect | Other,Waitlist Issues,Booking & Technology,BT-017,Specific waitlist problem,Yes,No
Class Details,Dropdown,Studio Barre 57 | Studio Foundations | Studio Barre 57 Express | Studio Cardio Barre | Studio FIT | Studio Mat 57 | Studio SWEAT In 30 | Studio Amped Up! | Studio Back Body Blaze | Studio Cardio Barre Plus | Studio Cardio Barre Express | Studio HIIT | Studio Back Body Blaze Express | Studio Recovery | Studio Hosted Class | Studio Trainer's Choice | Studio Pre/Post Natal | Studio Mat 57 Express | Studio PowerCycle Express | Studio PowerCycle | Studio Strength Lab (Pull) | Studio Strength Lab (Full Body) | Studio Strength Lab (Push) | Studio Strength Lab,Waitlist Issues,Booking & Technology,BT-018,Class on waitlist,Yes,No
Class Date & Time,DateTime,Date and time of class,Waitlist Issues,Booking & Technology,BT-019,Scheduled class date/time,Yes,No
Trainer,Dropdown,Anisha Shah | Atulan Purohit | Karanvir Bhatia | Mrigakshi Jaiswal | Reshma Sharma | Karan Bhatia | Pushyank Nahar | Shruti Kulkarni | Janhavi Jain | Rohan Dahima | Kajol Kanchan | Vivaran Dhasmana | Upasna Paranjpe | Richard D'Costa | Pranjali Jain | Saniya Jaiswal | Shruti Suresh | Cauveri Vikrant | Poojitha Bhaskar | Nishanth Raj | Siddhartha Kusuma | Simonelle De Vitre | Kabir Varma | Simran Dutt | Veena Narasimhan | Anmol Sharma | Bret Saldanha | Raunak Khemuka | Chaitanya Nahar | Sovena Shetty,Waitlist Issues,Booking & Technology,BT-020,Instructor for the class,Yes,No
Waitlist Position,Number,Client's position on waitlist,Waitlist Issues,Booking & Technology,BT-021,Where client was in queue,Yes,No
When Joined Waitlist,DateTime,When client added to waitlist,Waitlist Issues,Booking & Technology,BT-022,Timestamp of joining waitlist,Yes,No
Spot Became Available,Radio,Yes | No | Unknown,Waitlist Issues,Booking & Technology,BT-023,Whether a spot actually opened,Yes,No
Client Received Notification,Radio,Yes | No,Waitlist Issues,Booking & Technology,BT-024,If notification was sent/received,Yes,No
Manual Override Done,Radio,Yes | No,Waitlist Issues,Booking & Technology,BT-025,Whether staff manually added client,Yes,No
Cancellation Issue Type,Dropdown,Cannot Cancel in App | Late Cancel Charge Disputed | Cancel Window Confusion | Cancellation Not Processed | Wrong Class Cancelled | No Show Marked Incorrectly | Other,Cancellation Problems,Booking & Technology,BT-026,Type of cancellation issue,Yes,No
Class Details,Dropdown,Studio Barre 57 | Studio Foundations | Studio Barre 57 Express | Studio Cardio Barre | Studio FIT | Studio Mat 57 | Studio SWEAT In 30 | Studio Amped Up! | Studio Back Body Blaze | Studio Cardio Barre Plus | Studio Cardio Barre Express | Studio HIIT | Studio Back Body Blaze Express | Studio Recovery | Studio Hosted Class | Studio Trainer's Choice | Studio Pre/Post Natal | Studio Mat 57 Express | Studio PowerCycle Express | Studio PowerCycle | Studio Strength Lab (Pull) | Studio Strength Lab (Full Body) | Studio Strength Lab (Push) | Studio Strength Lab,Cancellation Problems,Booking & Technology,BT-027,Class to be cancelled,Yes,No
Class Date & Time,DateTime,Date and time of class,Cancellation Problems,Booking & Technology,BT-028,Scheduled class date/time,Yes,No
Cancellation Attempted When,DateTime,When client tried to cancel,Cancellation Problems,Booking & Technology,BT-029,Timestamp of cancellation attempt,Yes,No
Hours Before Class,Number,Calculate from above timestamps,Cancellation Problems,Booking & Technology,BT-030,Time gap before class start,Yes,Yes
Late Cancel Fee Applied,Radio,Yes | No,Cancellation Problems,Booking & Technology,BT-031,Whether penalty was charged,Yes,No
Late Cancel Fee Amount,Number,Fee charged if applicable,Cancellation Problems,Booking & Technology,BT-032,Amount of penalty,No,No
Fee Waiver Requested,Radio,Yes | No,Cancellation Problems,Booking & Technology,BT-033,Client asking for fee reversal,Yes,No
Fee Waiver Reason,Text,Client's explanation,Cancellation Problems,Booking & Technology,BT-034,Justification for waiver,No,No
Fee Waiver Approved,Radio,Yes | No | Pending,Cancellation Problems,Booking & Technology,BT-035,Decision on waiver request,No,No
Cancellation Completed,Radio,Yes - System | Yes - Manual | No,Cancellation Problems,Booking & Technology,BT-036,How cancellation was processed,Yes,No
Check-in Issue Type,Dropdown,QR Code Not Working | Manual Check-in Delay | Not Marked Present | Marked Absent Despite Attendance | Check-in Terminal Down | Other,Class Check-in,Booking & Technology,BT-037,Type of check-in problem,Yes,No
Class Details,Dropdown,Studio Barre 57 | Studio Foundations | Studio Barre 57 Express | Studio Cardio Barre | Studio FIT | Studio Mat 57 | Studio SWEAT In 30 | Studio Amped Up! | Studio Back Body Blaze | Studio Cardio Barre Plus | Studio Cardio Barre Express | Studio HIIT | Studio Back Body Blaze Express | Studio Recovery | Studio Hosted Class | Studio Trainer's Choice | Studio Pre/Post Natal | Studio Mat 57 Express | Studio PowerCycle Express | Studio PowerCycle | Studio Strength Lab (Pull) | Studio Strength Lab (Full Body) | Studio Strength Lab (Push) | Studio Strength Lab,Class Check-in,Booking & Technology,BT-038,Class attended,Yes,No
Class Date & Time,DateTime,Date and time of class,Class Check-in,Booking & Technology,BT-039,When class occurred,Yes,No
Trainer,Dropdown,Anisha Shah | Atulan Purohit | Karanvir Bhatia | Mrigakshi Jaiswal | Reshma Sharma | Karan Bhatia | Pushyank Nahar | Shruti Kulkarni | Janhavi Jain | Rohan Dahima | Kajol Kanchan | Vivaran Dhasmana | Upasna Paranjpe | Richard D'Costa | Pranjali Jain | Saniya Jaiswal | Shruti Suresh | Cauveri Vikrant | Poojitha Bhaskar | Nishanth Raj | Siddhartha Kusuma | Simonelle De Vitre | Kabir Varma | Simran Dutt | Veena Narasimhan | Anmol Sharma | Bret Saldanha | Raunak Khemuka | Chaitanya Nahar | Sovena Shetty,Class Check-in,Booking & Technology,BT-040,Instructor for the class,Yes,No
Check-in Method Attempted,Dropdown,QR Code Scan | Manual Entry | Front Desk | Self-Service Kiosk,Class Check-in,Booking & Technology,BT-041,How client tried to check in,Yes,No
Client Actually Attended,Radio,Yes | No,Class Check-in,Booking & Technology,BT-042,Confirm physical attendance,Yes,No
Attendance Corrected,Radio,Yes | No | Not Needed,Class Check-in,Booking & Technology,BT-043,Whether record was fixed,Yes,No
Class Credit Deducted,Radio,Yes | No | Incorrectly,Class Check-in,Booking & Technology,BT-044,Whether class was charged,Yes,No
Credit Correction Needed,Radio,Yes | No,Class Check-in,Booking & Technology,BT-045,If credit needs adjustment,Yes,No
Notification Issue Type,Dropdown,Missing Class Reminder | No Cancellation Alert | Too Many Notifications | Wrong Information in Notification | Notification Delay | Cannot Disable Notifications | Other,Notifications,Booking & Technology,BT-046,Type of notification issue,Yes,No
Notification Channel,Dropdown,Push Notification | Email | SMS | WhatsApp | In-App,Notifications,Booking & Technology,BT-047,How notification was/should be sent,Yes,No
Expected Notification Type,Dropdown,Class Reminder | Booking Confirmation | Cancellation Confirmation | Waitlist Update | Class Change Alert | Payment Receipt | Promotional | Other,Notifications,Booking & Technology,BT-048,What notification was expected,Yes,No
Related Class/Booking,Text,Class name and date if applicable,Notifications,Booking & Technology,BT-049,Associated booking details,No,No
Notification Received,Radio,Yes | No,Notifications,Booking & Technology,BT-050,Whether client got any notification,Yes,No
Notification Timing,Dropdown,On Time | Late | Too Early | Never Received,Notifications,Booking & Technology,BT-051,When notification arrived,Yes,No
Client Preference Updated,Radio,Yes | No | N/A,Notifications,Booking & Technology,BT-052,Whether settings were adjusted,Yes,No
